//Slug vacuum/upgrade																																									
onload	jungle_misty_meadow	triggerInput("enable", "#1485")																																							
onenter	jungle_misty_meadow	triggerInput("set", "#2388")																																							
onenter	hub_village	triggerInput("set", "#4547")																																							
																																									
//Spring key																																									
onpickup	spring_key	spring_gangway_grotto:4595	set																																						
skip_onpickup	spring_gangway_grotto:4531																																								
																																									
// Dive fish																																									
replace_script	spring_bubbly_basin:1139	function self.talk1() dialogBegin("dive_fish") dialogLine(1) dialogEnd() triggerOutput("give_fish") end																																							
																																									
//Mushrooms																																									
onload	intro_landing_upper	triggerInput("disable", "#5365") triggerInput("hide", "#5394") triggerInput("destroy", "#5392") triggerInput("disable", "#5599") triggerInput("hide", "#5605") triggerInput("destroy", "#5604")																																							
onpickup	mushroom_2	intro_landing_upper:5141	complete																																						
onpickup	mushroom_3	intro_landing_upper:5141	complete																																						
																																									
//Toolbox																																									
onload	hub_village	triggerInput("disable", "#4687") triggerInput("hide", "#4686") triggerInput("destroy", "#4690") triggerInput("disable", "#4661") triggerInput("disable", "#4658")																																							
																																									
//Skvader																																									
onenter	hub_left_lofty_logo	triggerInput("set", "#501")																																							
onenter	spring_cloudburst_cliffs	triggerInput("set", "#4985")																																							
																																									
//Tadpole																																									
onload	spring_bubbly_basin	triggerInput("destroy", "#1041") triggerInput("destroy", "#1232") triggerInput("destroy", "#1226") triggerInput("destroy", "#1229") triggerInput("destroy", "#1235") triggerInput("destroy", "#1241") triggerInput("destroy", "#1238") triggerInput("destroy", "#1244") triggerInput("disable", "#1042") triggerInput("disable", "#1227") triggerInput("disable", "#1230") triggerInput("disable", "#1233") triggerInput("disable", "#1236") triggerInput("disable", "#1239") triggerInput("disable", "#1242") triggerInput("disable", "#1245")																																							
																																									
// Idol_2																																									
replace_script	cave_temple_terror_lower:4750	function self.talk1() dialogBegin("willo_temple") triggerOutput("disable_trigger") dialogLine(1) dialogEnd() playAnim("press_button") setAnimHold("hold_button") triggerOutput("talk1done") dialogEnd() end  function self.talk2() dialogBegin("willo_temple") if hasCompletedQuest("hub_willo_pt2") == 1 then dialogLine(3) triggerOutput("complete") if hasCompletedQuest("hub_willo_pt3") == 1 then triggerOutput("return_quest") end else dialogLine(2) end dialogEnd() end																																							
																																									
// Idol_3																																									
